M,T,C,Module,Topic,Concept,Tag,Textbook,TextbookURL,FileName,Concept intro
2,5,1,Control System Concepts,Transfer Functions,Frequency Domain Modelling,freq,§9.1,https://fbswiki.org/wiki/index.php/Transfer_Functions,acs-2-5-1-freq.pdf,
2,5,2,Control System Concepts,Transfer Functions,Determining the Transfer Function,tf,§9.2,https://fbswiki.org/wiki/index.php/Transfer_Functions,acs-2-5-2-tf.pdf,
2,5,3,Control System Concepts,Transfer Functions,Laplace Transforms,laplace,§9.3,https://fbswiki.org/wiki/index.php/Transfer_Functions,acs-2-5-3-laplace.pdf,
2,5,4,Control System Concepts,Transfer Functions,Block Diagrams and Transfer Functions,blockdiag,§9.4,https://fbswiki.org/wiki/index.php/Transfer_Functions,acs-2-5-4-blockdiag.pdf,
2,5,5,Control System Concepts,Transfer Functions,"Zero Frequency Gain, Poles, and Zeros",dc,§9.5,https://fbswiki.org/wiki/index.php/Transfer_Functions,acs-2-5-5-dc.pdf,
2,5,6,Control System Concepts,Transfer Functions,The Bode Plot,bode,§9.6,https://fbswiki.org/wiki/index.php/Transfer_Functions,acs-2-5-6-bode.pdf,This is the final concept for this topic. In this concept ...
2,6,1,Control System Concepts,Frequency Domain Analysis,The Loop Transfer Function,loop,§10.1,https://fbswiki.org/wiki/index.php/Frequency_Domain_Analysis,acs-2-6-1-loop.pdf,
2,6,2,Control System Concepts,Frequency Domain Analysis,The Nyquist Criterion,nyq,§10.2,https://fbswiki.org/wiki/index.php/Frequency_Domain_Analysis,acs-2-6-2-nyq.pdf,
2,6,3,Control System Concepts,Frequency Domain Analysis,Stability Margins,stabmarg,§10.3,https://fbswiki.org/wiki/index.php/Frequency_Domain_Analysis,acs-2-6-3-stabmarg.pdf,
2,6,4,Control System Concepts,Frequency Domain Analysis,Bode’s Relations and Minimum Phase Systems,minphase,§10.4,https://fbswiki.org/wiki/index.php/Frequency_Domain_Analysis,acs-2-6-4-minphase.pdf,This is the final concept for this topic. In this concept ...
3,7,1,Control System Design,PID Control,Basic Control Functions,control,§11.1,https://fbswiki.org/wiki/index.php/PID_Control,acs-3-7-1-control.pdf,
3,7,2,Control System Design,PID Control,Simple Controllers for Complex Systems,simple,§11.2,https://fbswiki.org/wiki/index.php/PID_Control,acs-3-7-2-simple.pdf,
3,7,3,Control System Design,PID Control,PID Tuning,pid,§11.3,https://fbswiki.org/wiki/index.php/PID_Control,acs-3-7-3-pid.pdf,
3,7,4,Control System Design,PID Control,Integrator Windup,windup,§11.4,https://fbswiki.org/wiki/index.php/PID_Control,acs-3-7-4-windup.pdf,
3,7,5,Control System Design,PID Control,Implementation,implement,§11.5,https://fbswiki.org/wiki/index.php/PID_Control,acs-3-7-5-implement.pdf,This is the final concept for this topic. In this concept ...
3,8,1,Control System Design,Frequency Domain Design,Sensitivity Functions,sensitivity,§12.1,https://fbswiki.org/wiki/index.php/Frequency_Domain_Design,acs-3-8-1-sensitivity.pdf,
3,8,2,Control System Design,Frequency Domain Design,Performance Specifications,performance,§12.2,https://fbswiki.org/wiki/index.php/Frequency_Domain_Design,acs-3-8-2-performance.pdf,
3,8,3,Control System Design,Frequency Domain Design,Feedback Design via Loop Shaping,loopshape,§12.3,https://fbswiki.org/wiki/index.php/Frequency_Domain_Design,acs-3-8-3-loopshape.pdf,
3,8,4,Control System Design,Frequency Domain Design,The Root Locus Method,rootlocus,§12.5,https://fbswiki.org/wiki/index.php/Frequency_Domain_Design,acs-3-8-4-rootlocus.pdf,This is the final concept for this topic. In this concept ...
3,9,1,Control System Design,Robust Performance & Fundamental Limits,Modelling Uncertainty,uncertainmod,§13.1,https://fbswiki.org/wiki/index.php/Robust_Performance,acs-3-9-1-uncertainmod.pdf,
3,9,2,Control System Design,Robust Performance & Fundamental Limits,Effects of Uncertainty,uncertainty,"§13.2, §13.3",https://fbswiki.org/wiki/index.php/Robust_Performance,acs-3-9-2-uncertainty.pdf,
3,9,3,Control System Design,Robust Performance & Fundamental Limits,System Design Considerations,sysdesign,§14.1,https://fbswiki.org/wiki/index.php/Fundamental_Limits,acs-3-9-3-sysdesign.pdf,
3,9,4,Control System Design,Robust Performance & Fundamental Limits,Robust Pole Placement,robust,§14.5,https://fbswiki.org/wiki/index.php/Fundamental_Limits,acs-3-9-4-robust.pdf,
3,9,5,Control System Design,Robust Performance & Fundamental Limits,Nonlinear Effects,nonlinear,§14.6,https://fbswiki.org/wiki/index.php/Fundamental_Limits,acs-3-9-5-nonlinear.pdf,This is the final concept for this topic. In this concept ...
